Views,Readers,Comments,Recommends,StartWriting,LastUpdate,Status,Size,SizeType,Author,FanficsTitle,FanficsType
245173,3765,508,3,23.06.2012,03.11.2014,Заморожен,348,Макси,Kavinessa,Игра в прятки,гет
1036000,6445,4903,109,21.08.2013,03.11.2014,Закончен,1492,Макси,rain_dog,Квест,слэш
7297,264,44,5,03.11.2014,03.11.2014,Закончен,19,Мини,Home Orchid,Глазами Артура Уизли,джен
2551,62,3,0,02.11.2014,02.11.2014,Закончен,12,Мини,Арианрод,Первая встреча магла Вернона и мага Джеймса,гет
15642,420,27,7,26.10.2014,02.11.2014,Закончен,101,Миди,philippa,Непреложный обет,слэш
20202,804,31,6,02.11.2014,02.11.2014,Закончен,15,Мини,kapelly,Ma derniere volonte,гет
10433,138,22,3,02.11.2014,02.11.2014,Закончен,99,Миди,Элоиза,Сила Темной луны,гет
9833,551,14,0,02.11.2014,02.11.2014,Закончен,6,Мини,DevilsDozen,Нежилец,джен
12453,934,16,2,01.11.2014,01.11.2014,Закончен,8,Мини,Heks,"""П"" значит ""Поттер""",слэш
51565,1221,72,2,15.10.2014,01.11.2014,Заморожен,216,Макси,Симка,Время все рассудит,гет
256423,3521,240,6,28.02.2014,31.10.2014,Закончен,537,Макси,B Morgan,Камни,слэш
11947,850,24,1,31.10.2014,31.10.2014,Закончен,15,Мини,Niel Ellington,Уйти нельзя остаться,джен
6258,65,13,2,30.09.2014,31.10.2014,Закончен,142,Миди,ivanna343,"Вальпургиева ночь, или Как в маггловском немецком появилось слово ""снитч""",фемслэш
10139,594,49,5,31.10.2014,31.10.2014,Закончен,13,Мини,o_Ossus Totalus,"Кушать подано, или Осторожно, ведьма на диете!",гет
8422,583,27,1,31.10.2014,31.10.2014,Закончен,7,Мини,Munchen,Правила поведения на рабочем месте,слэш
9658,585,35,4,31.10.2014,31.10.2014,Закончен,4,Мини,Mrs N,Пять баллов Гриффиндору,гет
77127,693,173,1,19.06.2014,31.10.2014,Заморожен,347,Макси,София Риддл,Ее Королевское Высочество,джен
3892,115,18,1,31.10.2014,31.10.2014,Закончен,15,Мини,Tekken,А как же Хэллоуин?,джен
3320,74,4,0,31.10.2014,31.10.2014,Закончен,17,Мини,Круги-на-Воде,Вы все еще верите в чудеса?,гет
16358,796,16,2,31.10.2014,31.10.2014,Закончен,71,Миди,Солоха и Эйзенхайм,Тебе не кажется,гет
5905,106,5,0,29.10.2014,29.10.2014,Закончен,27,Мини,единорожка-,Ничего я не знаю,фемслэш
5106,250,11,0,29.10.2014,29.10.2014,Закончен,13,Мини,ana_kas,"Диверсант, или О некоторых особенностях обучения в военных академиях",джен
26508,781,11,0,29.10.2014,29.10.2014,Закончен,21,Мини,Гелла Верона,Драбблы на любой вкус,слэш
5563,39,1,1,29.10.2014,29.10.2014,Закончен,15,Мини,Земноводная,Случайный разговор,джен
2770,88,12,0,29.10.2014,29.10.2014,Закончен,8,Мини,Mrs N,Невилл Лонгботтом и оловянный котёл,джен
129283,1318,129,11,29.10.2014,29.10.2014,Закончен,2048,Макси,katori kisa,Абсолют,слэш
3150,78,7,0,29.10.2014,29.10.2014,Закончен,7,Мини,Гелла Верона,Пробуждение,джен
13422,457,17,3,29.10.2014,29.10.2014,Закончен,11,Мини,Гелла Верона,Что вы делаете в обеденный перерыв?,фемслэш
3844,136,11,0,29.10.2014,29.10.2014,Закончен,11,Мини,Mrs N,Отпусти,гет
15562,687,29,0,28.10.2014,28.10.2014,Закончен,26,Мини,Tau Mirta,ГП-драбблы с ФБ-2014,слэш
7995,383,20,4,28.10.2014,28.10.2014,Закончен,21,Мини,Yulita_Ran,Оранжевый - новый синий,слэш
11134,542,9,2,28.10.2014,28.10.2014,Закончен,18,Мини,Yulita_Ran,Когда закончится война...,гет
6361,350,18,3,28.10.2014,28.10.2014,Закончен,6,Мини,Taisin,Смысл жизни,джен
29129,884,27,4,28.10.2014,28.10.2014,Закончен,55,Миди,Taisin,Спрямить путь,джен
9594,243,16,3,28.10.2014,28.10.2014,Закончен,20,Мини,Taisin,Здесь водятся драконы,джен
7162,378,92,6,27.10.2014,27.10.2014,Закончен,19,Мини,Magnus Kervalen,В одной черной-черной комнате,джен
31103,1309,96,21,27.10.2014,27.10.2014,Закончен,64,Миди,Tau Mirta,Привычка рожать,гет
8874,379,10,2,27.10.2014,27.10.2014,Закончен,39,Мини,lajtara,Наблюдатели,гет
4838,109,31,0,26.10.2014,26.10.2014,Закончен,17,Мини,Бледная Русалка,Инстинкт своё возьмёт,джен
5473,95,6,2,26.10.2014,26.10.2014,Закончен,40,Мини,единорожка-,"Дом, который...",гет
7912,174,6,0,26.10.2014,26.10.2014,Закончен,37,Мини,TokaOka,Отсутствующая запись,слэш
2507,58,6,0,26.10.2014,26.10.2014,Закончен,25,Мини,Ayliten,Обыкновенное волшебство,джен
9031,454,41,1,26.10.2014,26.10.2014,Закончен,11,Мини,Vinegarish,Получить больше,слэш
5007,263,15,0,26.10.2014,26.10.2014,Закончен,10,Мини,Ayliten,Многие знания,слэш
4137,96,2,3,26.10.2014,26.10.2014,Закончен,25,Мини,Rubycon,Вся волшебная рать,джен
2247,65,2,0,26.10.2014,26.10.2014,Закончен,19,Мини,Liannon,COMPLETAMENTE,слэш
4160,139,23,7,26.10.2014,26.10.2014,Закончен,14,Мини,Tau Mirta,Сasus Mimbletoniaе,гет
3012,106,13,1,26.10.2014,26.10.2014,Закончен,15,Мини,Tau Mirta,"Проект ""Атлантида""",джен
12109,480,10,0,26.10.2014,26.10.2014,Закончен,24,Мини,hdd,Равноценный обмен,слэш
25399,216,46,0,24.04.2012,25.10.2014,Заморожен,275,Макси,enotova,Языки,гет
24973,392,19,0,23.10.2014,25.10.2014,Закончен,159,Миди,Liannon,Жених для всех,слэш
65127,1191,295,5,18.08.2014,25.10.2014,Закончен,251,Макси,o_Ossus Totalus,Articulo mortis,слэш
11906,434,33,1,20.10.2014,25.10.2014,Закончен,17,Мини,Фырко Мурфой,Он здесь,слэш
5764,94,21,2,25.10.2014,25.10.2014,Закончен,36,Мини,Xelenna,Пять часов до конца света,джен
21126,324,107,0,21.10.2014,25.10.2014,Закончен,114,Миди,Nym,Тринадцатая ночь,джен
1407,19,2,0,23.10.2014,23.10.2014,Закончен,5,Мини,in_side,monologue,джен
3946,196,21,1,23.10.2014,23.10.2014,Закончен,6,Мини,Yulita_Ran,"Спасибо, Поттер",джен
6509,437,13,2,23.10.2014,23.10.2014,Закончен,10,Мини,Yulita_Ran,Счастливые воспоминания Драко Малфоя,слэш
6635,244,31,4,22.10.2014,22.10.2014,Закончен,14,Мини,Korell,Записки Темного Лорда,джен
25127,891,45,1,17.10.2014,21.10.2014,Заморожен,60,Макси,Ежевичный Джем,Черныш. В поисках волшебства,джен
12669,1023,20,0,21.10.2014,21.10.2014,Закончен,10,Мини,Fellande,Соперники,слэш
526356,2679,4215,24,04.05.2011,21.10.2014,Закончен,671,Макси,MrZloi,Путь опытного темного мага,джен
8061,316,168,6,21.10.2014,21.10.2014,Закончен,11,Мини,Altra Realta,Without Telling Anyone - Тайком от всех,джен
167008,1425,70,5,07.01.2014,21.10.2014,Закончен,840,Макси,Jules,A More Merciful Man,гет
2320,48,4,0,20.10.2014,20.10.2014,Закончен,7,Мини,Фырко Мурфой,Лили,гет
69713,1582,38,1,05.01.2014,20.10.2014,Закончен,108,Миди,София Риддл,Уроки прошлого,джен
26540,493,278,8,02.10.2014,20.10.2014,Закончен,56,Миди,Altra Realta,"Harry Potter and the Nonexistent Place - Гарри Поттер и Город, которого нет",джен
6507,219,35,1,19.10.2014,19.10.2014,Закончен,6,Мини,Dannelyan,Инверсия,джен
7678,139,12,2,19.10.2014,19.10.2014,Закончен,26,Мини,Бешеный Воробей,Окончание зимы,гет
11657,142,22,5,22.08.2014,19.10.2014,Закончен,209,Миди,asm,Вавилон,джен
10113,484,19,2,18.10.2014,18.10.2014,Закончен,13,Мини,Vinegarish,И нет нам покоя,слэш
9791,458,11,0,18.10.2014,18.10.2014,Закончен,12,Мини,DoberAnts,Без вины виноватые,гет
18352,770,19,0,14.10.2014,18.10.2014,Закончен,22,Мини,Alfa Juliet,Хэллоуин,гет
15708,779,30,0,31.08.2014,17.10.2014,Заморожен,56,Макси,Niel Ellington,Проиграть – не значит сдаться,слэш
25829,437,138,1,21.08.2014,16.10.2014,Закончен,283,Макси,Tekken,Зато не скучно!,слэш
228840,2292,314,9,23.08.2014,15.10.2014,Закончен,626,Макси,pskovoroda,Водоворот,гет
60493,2368,334,11,07.10.2014,15.10.2014,Закончен,70,Миди,so_good,Рецепт счастья,слэш
5063,235,17,2,15.10.2014,15.10.2014,Закончен,10,Мини,Heter,Маленький Икар,джен
30799,1249,163,3,21.09.2014,15.10.2014,Закончен,86,Миди,tuuli,Танцы с дьяволом,слэш
17545,1229,19,1,14.10.2014,14.10.2014,Закончен,20,Мини,Liannon,"Ты что делаешь, трогаешь меня?",слэш
258890,2250,1691,2,26.09.2013,14.10.2014,Заморожен,328,Макси,Шерон,Harry Potter and the Sisters Black (оригинал),гет
2014,24,4,0,13.10.2014,13.10.2014,Закончен,6,Мини,ravenclaw-slitherin,Тихая встреча,джен
22641,482,14,0,16.04.2014,13.10.2014,Заморожен,76,Макси,Elrain,Лунный блик с сахарной ватой,гет
52915,1509,319,24,28.09.2014,13.10.2014,Закончен,111,Миди,SectumsepraX,Незнакомец,гет
